 	gene_name
COX11	COX11
IRF8	IRF8
GPN3	GPN3
CEP290	CEP290
MCM6	MCM6
DBF4	DBF4
LXN	LXN
PHIP	PHIP
MYO19	MYO19
EFNA5	EFNA5
CLINT1	CLINT1
PDRG1	PDRG1
NDUFAF8	NDUFAF8
KLF9	KLF9
CIT	CIT
HSPD1	HSPD1
TTK	TTK
PIR	PIR
CDCP1	CDCP1
KCNJ8	KCNJ8
ECI1	ECI1
KAZN	KAZN
OSGIN1	OSGIN1
UTP6	UTP6
CBFA2T2	CBFA2T2
MTHFD2	MTHFD2
NSD2	NSD2
SMC3	SMC3
TRIM47	TRIM47
AP1S2	AP1S2
FARP1	FARP1
PAK1IP1	PAK1IP1
KIDINS220	KIDINS220
PTTG1IP	PTTG1IP
NHP2	NHP2
ARHGEF35	ARHGEF35
DLEU1	DLEU1
EZH2	EZH2
TIPIN	TIPIN
FARSB	FARSB
SLC25A3	SLC25A3
KRT222	KRT222
HKDC1	HKDC1
SLFN5	SLFN5
STAT3	STAT3
ARRDC3	ARRDC3
PSMG4	PSMG4
CR1L	CR1L
CNDP2	CNDP2
SPC24	SPC24
ERP29	ERP29
CDH6	CDH6
RUVBL1	RUVBL1
TPD52	TPD52
EIF4E3	EIF4E3
CKAP5	CKAP5
LTBP1	LTBP1
SLC48A1	SLC48A1
PAQR5	PAQR5
SLC39A14	SLC39A14
RSL1D1	RSL1D1
DDX54	DDX54
SEC11C	SEC11C
UTP20	UTP20
TOMM5	TOMM5
CRYZ	CRYZ
SLC16A4	SLC16A4
NEDD4L	NEDD4L
PCSK5	PCSK5
PWWP3B	PWWP3B
TGFB1I1	TGFB1I1
PHLDA2	PHLDA2
ST14	ST14
DNAJA4	DNAJA4
MFSD2A	MFSD2A
ADSL	ADSL
PCCA-DT	PCCA-DT
LUCAT1	LUCAT1
KIF18B	KIF18B
NDUFA12	NDUFA12
ATP5F1B	ATP5F1B
C1S	C1S
RAB11FIP1	RAB11FIP1
ADAP2	ADAP2
RAB27B	RAB27B
FAM20C	FAM20C
TLK2	TLK2
NOP16	NOP16
GRB7	GRB7
PARPBP	PARPBP
TMEM265	TMEM265
AGPAT2	AGPAT2
NBN	NBN
SH3KBP1	SH3KBP1
SERINC2	SERINC2
PPP1CB	PPP1CB
KLF10	KLF10
DSEL	DSEL
CDK12	CDK12
DUSP6	DUSP6
CKAP2L	CKAP2L
SSTR1	SSTR1
CDCA8	CDCA8
MUC13	MUC13
NCAPH	NCAPH
COL7A1	COL7A1
MMP15	MMP15
TFRC	TFRC
CSGALNACT1	CSGALNACT1
NIBAN1	NIBAN1
PLEKHO1	PLEKHO1
LMNB1	LMNB1
NEK2	NEK2
COBLL1	COBLL1
LAMC1	LAMC1
LSM4	LSM4
EMP3	EMP3
CEP152	CEP152
FAM3C	FAM3C
GPR160	GPR160
MSRB1	MSRB1
TRIB3	TRIB3
SLC17A3	SLC17A3
ADA	ADA
TRAP1	TRAP1
DHX16	DHX16
ANKLE2	ANKLE2
TRAPPC2L	TRAPPC2L
ESRP1	ESRP1
AKAP1	AKAP1
MYEF2	MYEF2
PAG1	PAG1
MFAP2	MFAP2
TBL1XR1	TBL1XR1
TLCD4	TLCD4
TIMELESS	TIMELESS
PRKAA2	PRKAA2
UBR3	UBR3
SPSB2	SPSB2
MYO5B	MYO5B
IBTK	IBTK
SHCBP1	SHCBP1
HMGB3	HMGB3
DUSP1	DUSP1
TNC	TNC
GTF2A2	GTF2A2
OLFM2	OLFM2
ACTL6A	ACTL6A
PITX1	PITX1
DUXAP8	DUXAP8
ZWILCH	ZWILCH
CDC25B	CDC25B
CHD7	CHD7
PSME1	PSME1
DDR1	DDR1
TRIAP1	TRIAP1
TNIK	TNIK
MCTP1	MCTP1
RSRC2	RSRC2
LRRC59	LRRC59
ATRNL1	ATRNL1
PSME2	PSME2
ZFAS1	ZFAS1
MLEC	MLEC
NAV3	NAV3
GTF3C6	GTF3C6
EDIL3	EDIL3
PARD6B	PARD6B
TCEA3	TCEA3
RAB3B	RAB3B
SDSL	SDSL
UBB	UBB
MSH2	MSH2
RFC2	RFC2
THSD4	THSD4
SNRPN	SNRPN
DEPDC1B	DEPDC1B
PARP14	PARP14
TMOD1	TMOD1
TMEM14A	TMEM14A
GLIPR1	GLIPR1
IGF2BP2	IGF2BP2
PKP4	PKP4
EMP1	EMP1
BLVRB	BLVRB
ACP6	ACP6
LRPPRC	LRPPRC
LGALS3	LGALS3
AURKB	AURKB
CRELD2	CRELD2
RBMX	RBMX
OSGIN2	OSGIN2
IFRD1	IFRD1
GNPTAB	GNPTAB
NR2F1	NR2F1
MBD2	MBD2
LDHA	LDHA
COPZ1	COPZ1
CDYL	CDYL
DAG1	DAG1
PLCB4	PLCB4
NUDT15	NUDT15
PPP1R9A	PPP1R9A
FDXR	FDXR
ZBTB10	ZBTB10
CD320	CD320
INCENP	INCENP
ERBB4	ERBB4
ARHGEF5	ARHGEF5
TM7SF3	TM7SF3
MALT1	MALT1
ZFAND2A	ZFAND2A
MND1	MND1
WNT10A	WNT10A
DBNDD2	DBNDD2
SPX	SPX
CDH13	CDH13
CCDC47	CCDC47
PTGR1	PTGR1
NDFIP2	NDFIP2
KRT80	KRT80
HNRNPA2B1	HNRNPA2B1
XRCC6	XRCC6
ASF1B	ASF1B
CHD2	CHD2
NPTN	NPTN
ADAMTS4	ADAMTS4
NBAS	NBAS
NME4	NME4
TOM1L1	TOM1L1
ASS1	ASS1
VRK1	VRK1
IFI35	IFI35
MYADM	MYADM
FERMT2	FERMT2
GEM	GEM
ITGAV	ITGAV
ECH1	ECH1
NOP58	NOP58
NMT1	NMT1
POLD2	POLD2
U2SURP	U2SURP
DPYSL3	DPYSL3
ARPP19	ARPP19
PSMB9	PSMB9
RFFL	RFFL
KIFC1	KIFC1
GTF3C5	GTF3C5
THOC3	THOC3
RNF114	RNF114
NTM	NTM
TCF12	TCF12
IPO5	IPO5
RAB5IF	RAB5IF
APEH	APEH
BRIP1	BRIP1
ID4	ID4
ORMDL2	ORMDL2
CLN6	CLN6
SMARCE1	SMARCE1
TCERG1	TCERG1
VDAC1	VDAC1
HEXIM1	HEXIM1
TSPAN12	TSPAN12
NUDT1	NUDT1
SAMMSON	SAMMSON
ENTPD5	ENTPD5
WBP11	WBP11
SLC39A10	SLC39A10
PSME3	PSME3
KLK11	KLK11
BUD23	BUD23
AMN	AMN
LUM	LUM
TMEM30A	TMEM30A
EMILIN1	EMILIN1
PDHA1	PDHA1
EEF1E1	EEF1E1
SNF8	SNF8
MCM10	MCM10
SLC35E3	SLC35E3
PRDM1	PRDM1
STX7	STX7
WSB1	WSB1
FAM114A2	FAM114A2
NCAPH2	NCAPH2
TES	TES
STRBP	STRBP
NCEH1	NCEH1
HLF	HLF
MELK	MELK
PLEKHB1	PLEKHB1
COPRS	COPRS
TIMM10	TIMM10
ERBB2	ERBB2
ANXA11	ANXA11
DUSP3	DUSP3
RAB11FIP4	RAB11FIP4
GK	GK
PDGFRB	PDGFRB
PRDX3	PRDX3
ZDHHC12	ZDHHC12
SRSF1	SRSF1
CTCF	CTCF
SRSF2	SRSF2
BCL7A	BCL7A
MTAP	MTAP
SLCO3A1	SLCO3A1
ENO1	ENO1
HAUS6	HAUS6
NUP107	NUP107
BCAT1	BCAT1
KIF18A	KIF18A
CUEDC1	CUEDC1
SGK1	SGK1
XAGE2	XAGE2
CDCA5	CDCA5
FEM1C	FEM1C
CARMIL1	CARMIL1
VEZF1	VEZF1
NUAK2	NUAK2
PSMG1	PSMG1
HNRNPH3	HNRNPH3
OFD1	OFD1
DEPTOR	DEPTOR
MCRIP2	MCRIP2
APCDD1L-DT	APCDD1L-DT
SLC25A37	SLC25A37
SEMA3B	SEMA3B
TTF2	TTF2
TOMM22	TOMM22
MPHOSPH9	MPHOSPH9
SSX2IP	SSX2IP
NR4A1	NR4A1
F3	F3
POLE	POLE
METTL2A	METTL2A
SCAMP2	SCAMP2
CDC42EP1	CDC42EP1
CDKN2C	CDKN2C
CYS1	CYS1
TGFB2	TGFB2
ZMAT3	ZMAT3
AMD1	AMD1
TFAM	TFAM
B3GNT3	B3GNT3
TMED3	TMED3
WNK1	WNK1
APRT	APRT
POP5	POP5
BABAM2	BABAM2
KCTD12	KCTD12
SNRPD1	SNRPD1
CMSS1	CMSS1
CDH11	CDH11
BUB3	BUB3
GNA13	GNA13
YDJC	YDJC
SMIM24	SMIM24
CAND1	CAND1
BLOC1S5	BLOC1S5
TMEM54	TMEM54
GOLM1	GOLM1
RBL1	RBL1
SNRPA	SNRPA
TKT	TKT
PTPN3	PTPN3
FNBP1L	FNBP1L
UBE2D2	UBE2D2
JUNB	JUNB
PRSS8	PRSS8
POLR3K	POLR3K
UBALD2	UBALD2
PAK1	PAK1
AVPI1	AVPI1
NCOR2	NCOR2
CISD3	CISD3
JUN	JUN
BIK	BIK
PAPSS2	PAPSS2
CARHSP1	CARHSP1
SVIL	SVIL
NOL11	NOL11
BTG2	BTG2
SLC12A7	SLC12A7
PGAM5	PGAM5
DUSP14	DUSP14
SNAI2	SNAI2
KCNMA1	KCNMA1
CDCA4	CDCA4
TP53I3	TP53I3
FOXE1	FOXE1
CCND1	CCND1
POU3F3	POU3F3
MCU	MCU
DNM3	DNM3
PTPDC1	PTPDC1
TOMM40	TOMM40
TCHP	TCHP
RRP1B	RRP1B
SEMA3C	SEMA3C
MYO6	MYO6
MEGF9	MEGF9
HNRNPR	HNRNPR
SPINT1	SPINT1
SLCO4A1	SLCO4A1
APPL1	APPL1
TGFB1	TGFB1
FRMD4B	FRMD4B
STX2	STX2
CIP2A	CIP2A
MLLT11	MLLT11
SQSTM1	SQSTM1
HOXB8	HOXB8
IMP3	IMP3
JAG1	JAG1
PDE4DIP	PDE4DIP
CAMTA2	CAMTA2
ARIH1	ARIH1
PNPO	PNPO
FBL	FBL
CAVIN3	CAVIN3
KNOP1	KNOP1
ZFP36L2	ZFP36L2
TUBA4B	TUBA4B
UCHL3	UCHL3
NOC3L	NOC3L
GAREM1	GAREM1
GBP2	GBP2
FGD4	FGD4
NAXE	NAXE
PADI2	PADI2
TLE3	TLE3
CDT1	CDT1
IL6ST	IL6ST
TWIST2	TWIST2
HSBP1L1	HSBP1L1
INAFM1	INAFM1
RRS1	RRS1
HNRNPU	HNRNPU
CDKN2D	CDKN2D
RCN2	RCN2
TWIST1	TWIST1
DOK7	DOK7
PHB2	PHB2
BDP1	BDP1
NRM	NRM
SUPT16H	SUPT16H
PRELID1	PRELID1
NCALD	NCALD
KMT5A	KMT5A
CGAS	CGAS
GAMT	GAMT
GNL3	GNL3
TRIM37	TRIM37
AP2B1	AP2B1
BTBD10	BTBD10
RPN2	RPN2
PKMYT1	PKMYT1
USP53	USP53
SRRT	SRRT
ALYREF	ALYREF
SDF2L1	SDF2L1
POLR2H	POLR2H
HMGA1	HMGA1
DESI1	DESI1
CYB561	CYB561
MTFP1	MTFP1
NUP62	NUP62
FMNL2	FMNL2
TERF1	TERF1
DST	DST
OAF	OAF
DTL	DTL
INTS2	INTS2
SHPRH	SHPRH
ANTXR1	ANTXR1
NRIP1	NRIP1
TMEM139	TMEM139
DOCK7	DOCK7
BDKRB2	BDKRB2
CARS2	CARS2
CDKAL1	CDKAL1
CASP8	CASP8
NCOA7	NCOA7
BHLHE40	BHLHE40
GTPBP4	GTPBP4
NUP37	NUP37
ABCC4	ABCC4
SOX6	SOX6
ODF3B	ODF3B
NFKB2	NFKB2
TROAP	TROAP
VPS36	VPS36
MTX1	MTX1
HMCN1	HMCN1
KIZ	KIZ
GUCY1B1	GUCY1B1
RIF1	RIF1
NETO2	NETO2
SLC7A2	SLC7A2
PDLIM4	PDLIM4
GNPDA1	GNPDA1
EXOSC9	EXOSC9
PARD3	PARD3
HCFC1R1	HCFC1R1
RAD50	RAD50
AP3S2	AP3S2
AARSD1	AARSD1
TLNRD1	TLNRD1
AOPEP	AOPEP
TTLL12	TTLL12
ATXN10	ATXN10
TPM1	TPM1
MASTL	MASTL
HOXD11	HOXD11
TPRKB	TPRKB
DGKH	DGKH
CD82	CD82
TOPBP1	TOPBP1
DDX21	DDX21
UNC45A	UNC45A
BBC3	BBC3
PPP1R1A	PPP1R1A
PKM	PKM
IGFLR1	IGFLR1
LBR	LBR
ANAPC5	ANAPC5
CFI	CFI
PAFAH1B3	PAFAH1B3
ZEB1	ZEB1
IARS2	IARS2
TMEM9	TMEM9
UQCC3	UQCC3
TRIOBP	TRIOBP
FAM136A	FAM136A
YTHDF3	YTHDF3
UCHL5	UCHL5
RIOK1	RIOK1
PRRG1	PRRG1
SSRP1	SSRP1
MAP3K1	MAP3K1
OLA1	OLA1
PGP	PGP
CLIP1	CLIP1
GSTM3	GSTM3
NTPCR	NTPCR
MYCBP	MYCBP
ABHD2	ABHD2
SIGMAR1	SIGMAR1
CENPH	CENPH
PTPN1	PTPN1
HOXD8	HOXD8
STX3	STX3
FAM162A	FAM162A
LOX	LOX
BANF1	BANF1
PYCARD	PYCARD
ETV4	ETV4
COMTD1	COMTD1
LSM2	LSM2
POLE2	POLE2
TCF19	TCF19
GSPT1	GSPT1
DLG1	DLG1
CDKL2	CDKL2
DDX23	DDX23
MYH10	MYH10
ACAT2	ACAT2
RIOK3	RIOK3
CRNDE	CRNDE
LSM6	LSM6
PPIH	PPIH
GTF2H3	GTF2H3
MAP4K3-DT	MAP4K3-DT
VEZT	VEZT
MIDN	MIDN
MCCC2	MCCC2
EBNA1BP2	EBNA1BP2
CDK6	CDK6
ME1	ME1
MAP9	MAP9
SLC35F6	SLC35F6
PWP1	PWP1
NCKAP5	NCKAP5
FAM114A1	FAM114A1
MYLK	MYLK
ABCC3	ABCC3
ABCC2	ABCC2
MXD3	MXD3
RCN3	RCN3
HIRIP3	HIRIP3
SRPK1	SRPK1
PDE10A	PDE10A
PPP2R5A	PPP2R5A
HAT1	HAT1
BRIX1	BRIX1
PKP3	PKP3
BTG3	BTG3
MAP1LC3A	MAP1LC3A
PRTFDC1	PRTFDC1
VDAC3	VDAC3
MISP	MISP
ASPHD1	ASPHD1
CHRAC1	CHRAC1
NID1	NID1
FRMD6	FRMD6
GCLM	GCLM
AFF1	AFF1
EP400	EP400
SLC8A1	SLC8A1
ANGPTL2	ANGPTL2
NRARP	NRARP
GALNT14	GALNT14
NAA15	NAA15
PITPNM1	PITPNM1
BDNF	BDNF
NOC4L	NOC4L
PIAS2	PIAS2
IGFBP7	IGFBP7
IER2	IER2
USP9X	USP9X
GALNT11	GALNT11
DNER	DNER
AHR	AHR
NIFK	NIFK
FUCA1	FUCA1
VAV3	VAV3
CTDSPL	CTDSPL
ITGA5	ITGA5
POLE3	POLE3
HIGD1A	HIGD1A
RCAN1	RCAN1
CHRNA5	CHRNA5
THAP12	THAP12
SMAD5	SMAD5
CCDC198	CCDC198
HMGN1	HMGN1
SLC16A7	SLC16A7
SLC27A2	SLC27A2
HSPA9	HSPA9
YTHDC1	YTHDC1
STEAP1	STEAP1
MMP16	MMP16
ANAPC7	ANAPC7
GCNT1	GCNT1
SMS	SMS
ALG8	ALG8
HNRNPH1	HNRNPH1
NEU1	NEU1
NDUFAF3	NDUFAF3
NAE1	NAE1
KIF22	KIF22
KIAA1217	KIAA1217
INPP4B	INPP4B
NPR1	NPR1
HNRNPM	HNRNPM
SLTM	SLTM
DAAM1	DAAM1
LRRC61	LRRC61
FAH	FAH
NFIB	NFIB
TBC1D1	TBC1D1
USB1	USB1
WDR73	WDR73
SNHG4	SNHG4
CRACR2B	CRACR2B
AFG3L2	AFG3L2
DDX1	DDX1
CAPN1	CAPN1
SH3PXD2A	SH3PXD2A
EPB41	EPB41
TNFAIP8L1	TNFAIP8L1
TUBB2A	TUBB2A
DAB2	DAB2
SESTD1	SESTD1
WDR76	WDR76
ERBB3	ERBB3
UHRF1	UHRF1
PIK3R1	PIK3R1
DDX11	DDX11
CCDC59	CCDC59
ADAMTS6	ADAMTS6
KNTC1	KNTC1
PPP1R12A	PPP1R12A
EIF3D	EIF3D
ABCE1	ABCE1
IFI27L2	IFI27L2
CHCHD6	CHCHD6
ZCRB1	ZCRB1
RPS6KA5	RPS6KA5
PLEK2	PLEK2
CIAO2A	CIAO2A
EHD1	EHD1
FANCD2	FANCD2
PHF5A	PHF5A
CDC42BPB	CDC42BPB
MCL1	MCL1
GGH	GGH
SMIM13	SMIM13
HHEX	HHEX
MCM8	MCM8
IDH3A	IDH3A
GPSM2	GPSM2
MIR4435-2HG	MIR4435-2HG
RASSF8	RASSF8
POP1	POP1
MIS18A	MIS18A
PSMA3	PSMA3
GSS	GSS
PRIM1	PRIM1
KRT27	KRT27
HPRT1	HPRT1
SAMD1	SAMD1
PLLP	PLLP
ETS2	ETS2
NABP1	NABP1
FLRT2	FLRT2
SORL1	SORL1
BCLAF1	BCLAF1
GPD2	GPD2
IRS2	IRS2
KHSRP	KHSRP
TCEA1	TCEA1
AFDN	AFDN
ZEB2	ZEB2
FKBP10	FKBP10
STRAP	STRAP
MMS22L	MMS22L
ACTN4	ACTN4
SFSWAP	SFSWAP
SRPX2	SRPX2
PLXNB2	PLXNB2
LSM12	LSM12
NEIL3	NEIL3
DYRK3	DYRK3
SMARCA4	SMARCA4
PLBD1	PLBD1
UGT2B7	UGT2B7
RESF1	RESF1
GCN1	GCN1
NAA40	NAA40
SNRPA1	SNRPA1
SNAPC5	SNAPC5
TMEM106B	TMEM106B
CHCHD3	CHCHD3
BTBD7	BTBD7
ABHD11	ABHD11
PRKAR2B	PRKAR2B
GIHCG	GIHCG
RASSF7	RASSF7
CREB5	CREB5
PRRG4	PRRG4
DLC1	DLC1
RAB17	RAB17
NUDT8	NUDT8
KANSL1	KANSL1
ECI2	ECI2
PPP1CC	PPP1CC
METTL5	METTL5
RAMAC	RAMAC
METTL27	METTL27
EPHX1	EPHX1
ARL4A	ARL4A
BCL2L12	BCL2L12
SRM	SRM
COX7A1	COX7A1
TMEM205	TMEM205
ACOT9	ACOT9
RAPGEF3	RAPGEF3
PLS1	PLS1
CASC3	CASC3
UVRAG	UVRAG
COL4A4	COL4A4
PPID	PPID
TP53BP2	TP53BP2
SMCHD1	SMCHD1
SLC20A1	SLC20A1
CRIP2	CRIP2
RABL6	RABL6
RNF157	RNF157
VMA21	VMA21
CCNYL1	CCNYL1
MBP	MBP
PDCD11	PDCD11
TPMT	TPMT
JARID2	JARID2
DDX55	DDX55
CDKN2AIPNL	CDKN2AIPNL
SF3B2	SF3B2
MAP7	MAP7
CSK	CSK
MED1	MED1
STK3	STK3
PAGR1	PAGR1
HSP90B1	HSP90B1
SNX29	SNX29
ICE2	ICE2
RBM14	RBM14
PRKX	PRKX
SYNPO2	SYNPO2
TPM2	TPM2
STIL	STIL
NFYB	NFYB
PPAT	PPAT
HSDL2	HSDL2
EPDR1	EPDR1
PRKAG2	PRKAG2
ARL17A	ARL17A
CHMP4C	CHMP4C
LIG1	LIG1
MIR100HG	MIR100HG
CCDC43	CCDC43
OPHN1	OPHN1
CREG1	CREG1
ARHGAP22	ARHGAP22
STOM	STOM
TRIP13	TRIP13
SLC2A4RG	SLC2A4RG
FBXO2	FBXO2
PDCD7	PDCD7
RRP9	RRP9
TIMM50	TIMM50
YIPF6	YIPF6
NENF	NENF
WBP4	WBP4
MAPK13	MAPK13
MAT2A	MAT2A
HSPA4L	HSPA4L
ANAPC15	ANAPC15
ST6GAL1	ST6GAL1
ISCU	ISCU
CFAP97	CFAP97
NPM3	NPM3
GTF2F2	GTF2F2
SUCLA2	SUCLA2
ZC3H13	ZC3H13
PARVB	PARVB
ICMT	ICMT
CA12	CA12
TEAD4	TEAD4
LYPD3	LYPD3
ABCA1	ABCA1
NUAK1	NUAK1
GPC6	GPC6
DDHD1	DDHD1
EID3	EID3
DCAF7	DCAF7
WWC2	WWC2
ARL2	ARL2
SNHG15	SNHG15
CYTOR	CYTOR
FAM241B	FAM241B
HSPG2	HSPG2
SNU13	SNU13
MIR3936HG	MIR3936HG
HAUS2	HAUS2
TMEM132A	TMEM132A
PPCS	PPCS
UBL3	UBL3
TRAPPC6A	TRAPPC6A
WASF2	WASF2
CREBRF	CREBRF
GTPBP8	GTPBP8
VAMP5	VAMP5
POLR2I	POLR2I
CAD	CAD
ATF7IP	ATF7IP
KCNK1	KCNK1
POLA2	POLA2
CAAP1	CAAP1
SMG1	SMG1
PLEKHG3	PLEKHG3
LAMA4	LAMA4
SAPCD2	SAPCD2
METTL1	METTL1
RIPK2	RIPK2
E2F7	E2F7
PRDX5	PRDX5
CDC45	CDC45
PSORS1C3	PSORS1C3
PSMA4	PSMA4
MCUR1	MCUR1
EMX1	EMX1
ALG14	ALG14
DAZAP1	DAZAP1
ZNF326	ZNF326
PLCD3	PLCD3
HERPUD1	HERPUD1
NF2	NF2
GTF2H5	GTF2H5
CCDC71L	CCDC71L
COIL	COIL
ITGB3BP	ITGB3BP
MGME1	MGME1
UMPS	UMPS
MICAL2	MICAL2
FTSJ3	FTSJ3
PIGP	PIGP
CYC1	CYC1
ITGB1-DT	ITGB1-DT
TMEM47	TMEM47
FTH1	FTH1
NREP	NREP
CDS1	CDS1
PIP4K2A	PIP4K2A
MME	MME
CCDC14	CCDC14
NUDT14	NUDT14
CMAS	CMAS
DSE	DSE
CLN5	CLN5
RAB5C	RAB5C
NUP153	NUP153
RSPRY1	RSPRY1
PRKAB1	PRKAB1
PTPRR	PTPRR
SPAG1	SPAG1
ZC3HAV1	ZC3HAV1
CBR3	CBR3
ALG5	ALG5
ZNF652	ZNF652
SFXN4	SFXN4
SYTL3	SYTL3
KITLG	KITLG
LYN	LYN
ERG28	ERG28
SDHAF3	SDHAF3
G2E3	G2E3
GGNBP2	GGNBP2
AK4	AK4
ANKRD40	ANKRD40
GMPS	GMPS
PUS7L	PUS7L
RFLNB	RFLNB
PHLDB2	PHLDB2
ACACA	ACACA
HOTAIRM1	HOTAIRM1
DSC2	DSC2
TLCD1	TLCD1
SYNGR1	SYNGR1
HAPLN3	HAPLN3
TBXAS1	TBXAS1
GART	GART
OAS3	OAS3
ITSN2	ITSN2
ZNF664	ZNF664
SIN3A	SIN3A
TMEM141	TMEM141
CACYBP	CACYBP
PLEKHA1	PLEKHA1
CHD1	CHD1
UBE2Z	UBE2Z
HMGA2	HMGA2
ACADM	ACADM
POU2F1	POU2F1
MFAP3L	MFAP3L
ITPR3	ITPR3
EIF4A3	EIF4A3
MSMO1	MSMO1
RHNO1	RHNO1
PPP1R15A	PPP1R15A
PVR	PVR
SLC45A4	SLC45A4
NDRG1	NDRG1
WAPL	WAPL
SBNO1	SBNO1
GLIS3	GLIS3
RUVBL2	RUVBL2
NHSL1	NHSL1
MYO10	MYO10
CEP250	CEP250
FHL2	FHL2
MGST2	MGST2
UNC5B	UNC5B
SKA3	SKA3
PNPT1	PNPT1
SDC1	SDC1
ZMYND8	ZMYND8
APOBEC3C	APOBEC3C
POLD4	POLD4
HOMER1	HOMER1
IPO4	IPO4
SORD	SORD
CRLF3	CRLF3
SMIM3	SMIM3
RGS14	RGS14
CMTM7	CMTM7
EMC9	EMC9
PCNT	PCNT
HNRNPA3	HNRNPA3
ITPRIPL2	ITPRIPL2
M6PR	M6PR
CASC15	CASC15
NOP14	NOP14
RBM27	RBM27
DNM1L	DNM1L
KANK2	KANK2
ATF4	ATF4
EFL1	EFL1
