 	gene_name
MRFAP1	MRFAP1
ATP5F1E	ATP5F1E
IPO11	IPO11
DNAJA1	DNAJA1
GNAS	GNAS
NPM1	NPM1
PSMB1	PSMB1
RLF	RLF
EID1	EID1
BRK1	BRK1
SLC25A19	SLC25A19
SUCO	SUCO
AP2M1	AP2M1
SSR2	SSR2
ARF1	ARF1
ZNHIT1	ZNHIT1
SAP30	SAP30
SNX4	SNX4
LRP5	LRP5
P4HB	P4HB
RPGR	RPGR
PRPF38A	PRPF38A
NIPSNAP1	NIPSNAP1
CAPZB	CAPZB
LIMD2	LIMD2
SH3BGRL3	SH3BGRL3
PAXIP1	PAXIP1
EDF1	EDF1
COX5B	COX5B
SELENOH	SELENOH
RCC1	RCC1
GEMIN2	GEMIN2
LAPTM4A	LAPTM4A
DDX5	DDX5
SPINDOC	SPINDOC
HLA-C	HLA-C
NR1D2	NR1D2
ATP5MG	ATP5MG
KATNA1	KATNA1
CPT1C	CPT1C
KBTBD2	KBTBD2
NDUFA11	NDUFA11
NDUFS5	NDUFS5
PSMB6	PSMB6
BEND6	BEND6
MYDGF	MYDGF
MYL12A	MYL12A
COX7A2L	COX7A2L
TMEM237	TMEM237
SRP14	SRP14
VAPA	VAPA
NDUFA13	NDUFA13
MTCH1	MTCH1
ATG10	ATG10
FAM217B	FAM217B
GSTO1	GSTO1
HSPA8	HSPA8
TSC22D2	TSC22D2
MRE11	MRE11
ZNF22	ZNF22
ITGB1	ITGB1
QSOX2	QSOX2
UQCRB	UQCRB
GUK1	GUK1
NEDD8	NEDD8
EPB41L5	EPB41L5
VSIG10	VSIG10
DRAP1	DRAP1
STEAP3	STEAP3
KDELR1	KDELR1
COX6B1	COX6B1
COG5	COG5
UBE2D3	UBE2D3
YWHAE	YWHAE
TMEM50A	TMEM50A
MIR31HG	MIR31HG
GPAM	GPAM
SNRPD2	SNRPD2
TACC2	TACC2
FIS1	FIS1
NDUFB11	NDUFB11
POMP	POMP
TMEM258	TMEM258
RNF7	RNF7
LAMTOR4	LAMTOR4
HSPA12A	HSPA12A
CD59	CD59
PPARD	PPARD
SSR3	SSR3
MCC	MCC
NDUFB4	NDUFB4
SFR1	SFR1
MTMR12	MTMR12
ZBTB40	ZBTB40
PSMB4	PSMB4
ATOX1	ATOX1
DUSP18	DUSP18
TRIR	TRIR
NPC2	NPC2
PRDX6	PRDX6
PET100	PET100
DNAH14	DNAH14
MLKL	MLKL
HDLBP	HDLBP
SRSF5	SRSF5
HDAC4	HDAC4
CUTA	CUTA
SEM1	SEM1
RNF4	RNF4
DAD1	DAD1
SRGAP2B	SRGAP2B
CST3	CST3
ATP6V0B	ATP6V0B
PSMD8	PSMD8
RAC1	RAC1
PFDN5	PFDN5
CALU	CALU
DBR1	DBR1
UBXN1	UBXN1
ARPC5	ARPC5
STAU2	STAU2
ATP6V1F	ATP6V1F
SARAF	SARAF
HSBP1	HSBP1
ZFC3H1	ZFC3H1
RAB38	RAB38
PDIA3	PDIA3
TSC22D3	TSC22D3
NOP10	NOP10
CDC42	CDC42
UBE2B	UBE2B
ARF4	ARF4
TBCA	TBCA
CD81	CD81
COPE	COPE
OSTC	OSTC
SERP1	SERP1
ADCY6	ADCY6
NUP54	NUP54
TMEM168	TMEM168
GPR176	GPR176
MAP2K2	MAP2K2
RTRAF	RTRAF
COX4I1	COX4I1
EIF3F	EIF3F
UXT	UXT
UBXN4	UBXN4
NFATC2IP	NFATC2IP
USP25	USP25
PPARA	PPARA
SF3B5	SF3B5
NAA38	NAA38
TLE5	TLE5
AGAP1	AGAP1
TRAPPC5	TRAPPC5
VPS28	VPS28
AMPD3	AMPD3
SEC62	SEC62
EIF3I	EIF3I
OTUD6B	OTUD6B
PSMB5	PSMB5
PSMD4	PSMD4
CLTA	CLTA
SEPTIN7	SEPTIN7
RNF181	RNF181
ANAPC11	ANAPC11
CRYL1	CRYL1
ATP6AP2	ATP6AP2
CIAO2B	CIAO2B
DNAJB6	DNAJB6
MGST3	MGST3
RAB27A	RAB27A
MORF4L2	MORF4L2
SNX3	SNX3
PYCR3	PYCR3
SYF2	SYF2
ACTB	ACTB
NFE2L2	NFE2L2
S100A13	S100A13
TOMM7	TOMM7
ARHGAP12	ARHGAP12
FKBP8	FKBP8
TCF25	TCF25
NSA2	NSA2
RAB7A	RAB7A
DYNC1I2	DYNC1I2
PRDX2	PRDX2
SSU72	SSU72
TMEM59	TMEM59
UQCR10	UQCR10
MCFD2	MCFD2
PTMS	PTMS
SON	SON
PDCD6	PDCD6
MGST1	MGST1
FMNL3	FMNL3
ATP6V1G1	ATP6V1G1
RGS17	RGS17
RAB34	RAB34
STYX	STYX
NDUFB7	NDUFB7
SCAND1	SCAND1
PFN1	PFN1
CAMTA1	CAMTA1
TXNDC17	TXNDC17
PSMA7	PSMA7
TRAPPC1	TRAPPC1
ATP5PD	ATP5PD
SLC35B4	SLC35B4
RAB2A	RAB2A
COX6C	COX6C
TMED9	TMED9
MTPN	MTPN
PHF8	PHF8
GNG5	GNG5
YWHAQ	YWHAQ
REEP5	REEP5
COPS9	COPS9
XPO4	XPO4
TOP1	TOP1
RBM8A	RBM8A
KTN1	KTN1
GALNT10	GALNT10
GNAI2	GNAI2
KDELR2	KDELR2
CSNK1A1	CSNK1A1
VCP	VCP
AKAP7	AKAP7
NDUFB8	NDUFB8
ATP1B3	ATP1B3
PSMD13	PSMD13
SAP130	SAP130
EXTL2	EXTL2
TRMU	TRMU
CAMK2D	CAMK2D
COX7A2	COX7A2
CES2	CES2
TMEM101	TMEM101
UFD1	UFD1
CHCHD4	CHCHD4
SLC25A6	SLC25A6
MPG	MPG
CLIC1	CLIC1
NDUFA4	NDUFA4
PGLS	PGLS
NDUFB6	NDUFB6
CTSA	CTSA
PSMC1	PSMC1
NPAT	NPAT
JUND	JUND
NFYC	NFYC
MICOS10	MICOS10
ADH5	ADH5
CSDE1	CSDE1
ST13	ST13
EEF1D	EEF1D
REX1BD	REX1BD
PGM2	PGM2
RNH1	RNH1
RMC1	RMC1
RCN1	RCN1
YIPF3	YIPF3
UQCR11	UQCR11
SEC31A	SEC31A
APP	APP
GABARAPL2	GABARAPL2
DOCK4	DOCK4
EMC7	EMC7
TMEM165	TMEM165
COX16	COX16
TMEM167A	TMEM167A
TAX1BP1	TAX1BP1
DYNLRB1	DYNLRB1
PSMB7	PSMB7
TIMM8B	TIMM8B
DDX24	DDX24
GNB2	GNB2
TMA7	TMA7
ENY2	ENY2
SURF4	SURF4
SNRPB2	SNRPB2
LAMP2	LAMP2
TXNDC11	TXNDC11
MYL6B	MYL6B
GLMN	GLMN
HNRNPK	HNRNPK
NDUFB1	NDUFB1
CAP1	CAP1
SELENOS	SELENOS
TCEAL4	TCEAL4
PTOV1	PTOV1
SGPP1	SGPP1
TMED10	TMED10
SOD1	SOD1
STMP1	STMP1
MTDH	MTDH
UQCRQ	UQCRQ
PPIB	PPIB
CTNNB1	CTNNB1
UBE2E3	UBE2E3
GADD45GIP1	GADD45GIP1
TRAF5	TRAF5
NOL9	NOL9
CCDC57	CCDC57
UBL5	UBL5
UFC1	UFC1
MTMR4	MTMR4
PAIP2	PAIP2
CSNK1E	CSNK1E
PLEKHF2	PLEKHF2
SNHG29	SNHG29
LIMS1	LIMS1
PSAP	PSAP
GNB1	GNB1
EIF3H	EIF3H
CHMP5	CHMP5
RHOA	RHOA
CEP192	CEP192
DDT	DDT
STAG1	STAG1
EIF1B	EIF1B
KMT2E	KMT2E
FANCL	FANCL
SNX6	SNX6
RBM15	RBM15
LAMP1	LAMP1
CSNK2B	CSNK2B
SDCBP	SDCBP
SEPTIN2	SEPTIN2
CWF19L1	CWF19L1
TMEM209	TMEM209
UBE2M	UBE2M
STUB1	STUB1
REXO2	REXO2
PAF1	PAF1
COQ6	COQ6
VKORC1	VKORC1
S1PR2	S1PR2
MICALL1	MICALL1
PSMA1	PSMA1
APEX1	APEX1
YWHAG	YWHAG
DBI	DBI
BCL10	BCL10
ATRX	ATRX
YWHAB	YWHAB
CKAP4	CKAP4
GNG11	GNG11
RIPK1	RIPK1
NBDY	NBDY
COPB2	COPB2
SAP18	SAP18
CSTF2T	CSTF2T
SERINC3	SERINC3
SDF4	SDF4
SRRM2	SRRM2
TMEM208	TMEM208
PSMC6	PSMC6
LMAN1	LMAN1
NDUFS4	NDUFS4
TMEM230	TMEM230
SELENOF	SELENOF
UTP14A	UTP14A
NBL1	NBL1
ATP6V1E1	ATP6V1E1
DYNC1H1	DYNC1H1
SUMO1	SUMO1
RAP1B	RAP1B
PIGB	PIGB
EMC6	EMC6
TXNL1	TXNL1
POMT2	POMT2
UBE3B	UBE3B
MZT2B	MZT2B
NDUFA2	NDUFA2
PRKAR1A	PRKAR1A
ZMAT2	ZMAT2
FLNA	FLNA
UBE2V1	UBE2V1
PRKCSH	PRKCSH
SELENOK	SELENOK
ZFP91	ZFP91
CTSD	CTSD
ATP6V0C	ATP6V0C
COPA	COPA
EIF3M	EIF3M
TMBIM6	TMBIM6
SNX9	SNX9
SMIM26	SMIM26
SNRNP70	SNRNP70
PSMD7	PSMD7
CALR	CALR
PSMD2	PSMD2
SRP19	SRP19
ARPC1A	ARPC1A
ORMDL1	ORMDL1
LAMTOR2	LAMTOR2
COPB1	COPB1
NDUFS2	NDUFS2
CHMP2A	CHMP2A
FAM177A1	FAM177A1
NOP53	NOP53
SLC38A2	SLC38A2
MMADHC	MMADHC
FCGRT	FCGRT
BUD31	BUD31
NDUFB10	NDUFB10
GLG1	GLG1
SSNA1	SSNA1
NFIC	NFIC
DCTN3	DCTN3
ATP5ME	ATP5ME
BLOC1S1	BLOC1S1
BTF3	BTF3
SEC61A1	SEC61A1
NCKAP1	NCKAP1
AP1S1	AP1S1
UBE2L3	UBE2L3
DYNC1LI2	DYNC1LI2
AEBP2	AEBP2
TOMM20	TOMM20
COMMD6	COMMD6
UBE2R2	UBE2R2
TLN1	TLN1
TTC3	TTC3
RTF1	RTF1
HADHA	HADHA
COX8A	COX8A
CCDC68	CCDC68
RB1CC1	RB1CC1
RBPJ	RBPJ
OS9	OS9
POLR2L	POLR2L
DNAJC8	DNAJC8
EIF4E2	EIF4E2
CHMP3	CHMP3
CNPY2	CNPY2
BZW1	BZW1
SDCCAG8	SDCCAG8
S100A16	S100A16
MAF1	MAF1
FAM153CP	FAM153CP
TMEM219	TMEM219
CSTB	CSTB
RBBP5	RBBP5
ROMO1	ROMO1
CIRBP	CIRBP
UBE2K	UBE2K
PSMA2	PSMA2
ALG12	ALG12
MSN	MSN
PPP1R7	PPP1R7
ACBD3	ACBD3
SEH1L	SEH1L
TIMP2	TIMP2
CHCHD2	CHCHD2
CISD2	CISD2
EIF3E	EIF3E
SF3B6	SF3B6
TGOLN2	TGOLN2
QKI	QKI
PARK7	PARK7
HIF1A	HIF1A
HP1BP3	HP1BP3
CALD1	CALD1
HLA-B	HLA-B
FAM50A	FAM50A
FXR1	FXR1
ETV6	ETV6
RAB1A	RAB1A
BCAP31	BCAP31
PARL	PARL
SPCS2	SPCS2
RDX	RDX
ADRM1	ADRM1
ATP6V1D	ATP6V1D
FAM133B	FAM133B
HSD17B7	HSD17B7
SIRT5	SIRT5
TAGLN2	TAGLN2
CNIH1	CNIH1
SLC16A3	SLC16A3
ARPC4	ARPC4
APLP2	APLP2
CTSB	CTSB
TIMM13	TIMM13
NDUFA1	NDUFA1
GNG10	GNG10
PIN1	PIN1
VEGFB	VEGFB
CDK2AP1	CDK2AP1
TAF10	TAF10
FAM219B	FAM219B
ETFB	ETFB
PLAGL2	PLAGL2
ERLEC1	ERLEC1
PLD3	PLD3
CBX3	CBX3
ARID4B	ARID4B
ACTN1	ACTN1
ARPC1B	ARPC1B
EIF3K	EIF3K
ALKBH7	ALKBH7
TUSC3	TUSC3
JOSD2	JOSD2
GRINA	GRINA
MALSU1	MALSU1
DCTN2	DCTN2
ERGIC3	ERGIC3
NRBP1	NRBP1
SPCS1	SPCS1
ABCF1	ABCF1
SH3GLB1	SH3GLB1
DDOST	DDOST
RRBP1	RRBP1
KRTCAP2	KRTCAP2
DDX17	DDX17
CD151	CD151
TRMT10B	TRMT10B
PIGT	PIGT
LMNA	LMNA
SLC39A7	SLC39A7
ARHGDIA	ARHGDIA
ATRAID	ATRAID
GTF2I	GTF2I
ACTR2	ACTR2
CD164	CD164
CANX	CANX
SUMO2	SUMO2
ATP6V0D1	ATP6V0D1
CFDP1	CFDP1
POLR2J	POLR2J
PPP4C	PPP4C
EIF4B	EIF4B
TRAPPC3	TRAPPC3
JAK1	JAK1
TM9SF3	TM9SF3
BAX	BAX
MBOAT7	MBOAT7
IK	IK
FAM32A	FAM32A
EIF4H	EIF4H
PPDPF	PPDPF
PABPC1	PABPC1
SELENOT	SELENOT
UBA1	UBA1
MAP1LC3B	MAP1LC3B
SEC13	SEC13
UBE2A	UBE2A
RHOBTB1	RHOBTB1
DHX36	DHX36
EPS15L1	EPS15L1
G3BP1	G3BP1
RAB10	RAB10
ATP5PF	ATP5PF
DPP7	DPP7
LRRC49	LRRC49
OSBPL8	OSBPL8
PRRC2C	PRRC2C
RTN4	RTN4
LRP10	LRP10
ERCC1	ERCC1
RTF2	RTF2
CSPP1	CSPP1
MPZL1	MPZL1
SELENOW	SELENOW
PLPP2	PLPP2
DAZAP2	DAZAP2
UQCC2	UQCC2
MICOS13	MICOS13
API5	API5
ARPC2	ARPC2
WIPI2	WIPI2
PNISR	PNISR
CAPNS1	CAPNS1
CFL1	CFL1
BNIP3L	BNIP3L
TCEAL9	TCEAL9
CHCHD1	CHCHD1
HNRNPA0	HNRNPA0
PHPT1	PHPT1
ZNF236	ZNF236
ATP5MF	ATP5MF
NDUFS7	NDUFS7
FAAP20	FAAP20
COMMD7	COMMD7
ANKRD12	ANKRD12
NACA	NACA
NDUFA3	NDUFA3
EIF3J-DT	EIF3J-DT
RABAC1	RABAC1
ACADVL	ACADVL
UFM1	UFM1
MXRA7	MXRA7
UBC	UBC
WAC	WAC
DYNLT1	DYNLT1
GORASP1	GORASP1
PGRMC1	PGRMC1
DYNLL1	DYNLL1
PPP1R14B	PPP1R14B
TNS1	TNS1
TMCO1	TMCO1
FIBP	FIBP
EMC3	EMC3
ZFAND5	ZFAND5
SEC63	SEC63
BBX	BBX
HDAC2	HDAC2
ATP5MC2	ATP5MC2
NME3	NME3
USP22	USP22
RRAGA	RRAGA
CAST	CAST
ANAPC4	ANAPC4
EIF5A	EIF5A
MVP	MVP
SPCS3	SPCS3
BSG	BSG
SH3BGRL	SH3BGRL
TSR3	TSR3
NCOR1	NCOR1
ZNF397	ZNF397
VGLL4	VGLL4
PSMC3	PSMC3
RAB14	RAB14
FBXW5	FBXW5
CTDNEP1	CTDNEP1
ADI1	ADI1
HOMER3	HOMER3
ILK	ILK
ATP5F1D	ATP5F1D
SUGT1	SUGT1
NOSIP	NOSIP
TMBIM4	TMBIM4
MEPCE	MEPCE
ARL3	ARL3
ARPC3	ARPC3
PCBP1	PCBP1
SNRPC	SNRPC
MORF4L1	MORF4L1
IFITM3	IFITM3
TMEM248	TMEM248
ZRANB2	ZRANB2
PSMD14	PSMD14
IGF2R	IGF2R
ZNF428	ZNF428
RPN1	RPN1
G3BP2	G3BP2
GNAI3	GNAI3
SAT2	SAT2
HEBP2	HEBP2
ENSA	ENSA
WDR1	WDR1
N4BP2L2	N4BP2L2
SPTAN1	SPTAN1
CLTC	CLTC
TRIM24	TRIM24
SDF2	SDF2
RRAS	RRAS
CUEDC2	CUEDC2
PTEN	PTEN
BOD1L1	BOD1L1
PSMC4	PSMC4
EIF3G	EIF3G
EMC4	EMC4
PCNP	PCNP
CRK	CRK
EIF4A2	EIF4A2
HADHB	HADHB
GDI2	GDI2
FNDC3B	FNDC3B
GET3	GET3
STAU1	STAU1
RPS19BP1	RPS19BP1
PGM3	PGM3
TFG	TFG
CLPP	CLPP
PHTF2	PHTF2
TM9SF1	TM9SF1
YIPF4	YIPF4
TUSC2	TUSC2
ATP5F1A	ATP5F1A
ARL6IP4	ARL6IP4
PI4K2B	PI4K2B
RDH11	RDH11
AIP	AIP
CRIPT	CRIPT
SHC1	SHC1
RER1	RER1
RBM39	RBM39
DGUOK	DGUOK
LAMTOR1	LAMTOR1
JMY	JMY
ZNF580	ZNF580
PFDN2	PFDN2
ACTR1A	ACTR1A
IST1	IST1
SMIM7	SMIM7
PFN2	PFN2
NDUFV2	NDUFV2
SLC44A1	SLC44A1
MPLKIP	MPLKIP
NDUFAB1	NDUFAB1
LSM7	LSM7
MYH9	MYH9
DHRS7	DHRS7
ACTG1	ACTG1
GNG12	GNG12
FOXRED1	FOXRED1
NR1H2	NR1H2
BCL9	BCL9
GLRX5	GLRX5
RINT1	RINT1
PSMB2	PSMB2
PGD	PGD
TMED1	TMED1
VTI1B	VTI1B
MOB4	MOB4
PHAX	PHAX
LUZP1	LUZP1
HIKESHI	HIKESHI
AFF4	AFF4
IER3IP1	IER3IP1
MOB1A	MOB1A
CYTH2	CYTH2
RWDD1	RWDD1
UBXN6	UBXN6
SPAG7	SPAG7
CLPTM1	CLPTM1
ACTR3	ACTR3
PABPN1	PABPN1
TRAPPC4	TRAPPC4
AURKAIP1	AURKAIP1
METTL26	METTL26
BAG6	BAG6
NT5C	NT5C
LY6E	LY6E
NDUFA5	NDUFA5
SPTSSA	SPTSSA
SLC66A3	SLC66A3
TIPRL	TIPRL
CGGBP1	CGGBP1
RO60	RO60
ATP6V0E1	ATP6V0E1
XRN2	XRN2
PSMA5	PSMA5
PAFAH1B1	PAFAH1B1
TPGS1	TPGS1
TMEM203	TMEM203
PLEKHA3	PLEKHA3
CIR1	CIR1
LEPROTL1	LEPROTL1
COPS6	COPS6
NRBF2	NRBF2
ATP2A2	ATP2A2
PHF20L1	PHF20L1
PSMD1	PSMD1
PIN4	PIN4
SUPT4H1	SUPT4H1
NDUFA10	NDUFA10
DEF8	DEF8
STX10	STX10
GPBP1	GPBP1
TXN	TXN
SEPTIN9	SEPTIN9
TPM3	TPM3
PURA	PURA
RDH13	RDH13
ARL1	ARL1
BLOC1S4	BLOC1S4
IFNAR1	IFNAR1
COMT	COMT
GANAB	GANAB
UBE2V2	UBE2V2
SLC25A36	SLC25A36
COX17	COX17
CCT3	CCT3
RAB11B	RAB11B
HAX1	HAX1
SF3B1	SF3B1
RAP1A	RAP1A
METTL9	METTL9
LMTK2	LMTK2
TMEM256	TMEM256
FDX1	FDX1
TADA3	TADA3
SPPL2A	SPPL2A
TRIP12	TRIP12
KCMF1	KCMF1
DERL2	DERL2
TCEAL8	TCEAL8
ZBTB7A	ZBTB7A
WASHC4	WASHC4
PRMT1	PRMT1
VMP1	VMP1
TSG101	TSG101
LARP6	LARP6
TAF7	TAF7
CD2BP2	CD2BP2
ROCK1	ROCK1
DDB1	DDB1
SNHG16	SNHG16
ZCCHC17	ZCCHC17
HEXB	HEXB
YTHDF2	YTHDF2
TOR1A	TOR1A
AZI2	AZI2
SLC52A2	SLC52A2
FICD	FICD
IRF3	IRF3
BLOC1S6	BLOC1S6
CWC15	CWC15
UQCRFS1	UQCRFS1
LEPROT	LEPROT
TBCB	TBCB
REPIN1	REPIN1
PRDX4	PRDX4
NDUFB2	NDUFB2
TRAM1	TRAM1
PPIG	PPIG
COX7B	COX7B
TAX1BP3	TAX1BP3
CTBS	CTBS
TNFRSF1A	TNFRSF1A
COQ10B	COQ10B
GOPC	GOPC
TERF2IP	TERF2IP
GPS2	GPS2
ARID1B	ARID1B
ZNF92	ZNF92
RTL8C	RTL8C
ITPA	ITPA
NARF	NARF
JKAMP	JKAMP
VAMP3	VAMP3
PSMC2	PSMC2
SERINC1	SERINC1
SND1	SND1
EPN1	EPN1
PUF60	PUF60
COMMD1	COMMD1
CDIPT	CDIPT
RTL8A	RTL8A
CAMLG	CAMLG
ARL5A	ARL5A
NDFIP1	NDFIP1
USP34	USP34
VAMP2	VAMP2
PRPF8	PRPF8
AKAP9	AKAP9
SERPINB6	SERPINB6
MVB12A	MVB12A
WTAP	WTAP
CCT4	CCT4
KIAA2013	KIAA2013
ERP44	ERP44
KDM5A	KDM5A
MFF	MFF
NUCB2	NUCB2
LUC7L	LUC7L
GRB2	GRB2
PPP2CB	PPP2CB
ABHD17A	ABHD17A
NSD3	NSD3
ATP9B	ATP9B
NUCB1	NUCB1
MDH2	MDH2
SNX17	SNX17
LSM1	LSM1
AHSA1	AHSA1
CHURC1	CHURC1
TMED5	TMED5
PARVA	PARVA
ARFGAP3	ARFGAP3
S100A11	S100A11
WDR13	WDR13
TMEM181	TMEM181
TMEM126A	TMEM126A
SMIM10L1	SMIM10L1
TMEM259	TMEM259
DCTN6	DCTN6
GOLGB1	GOLGB1
KIF1B	KIF1B
DNAJC3	DNAJC3
STARD3NL	STARD3NL
ELOF1	ELOF1
TMED7	TMED7
TUFM	TUFM
TMEM115	TMEM115
TMEM126B	TMEM126B
PSMD3	PSMD3
GOLGA2	GOLGA2
TWF2	TWF2
STK25	STK25
DCTN1	DCTN1
GIT1	GIT1
PRPF6	PRPF6
STX4	STX4
CTDSP2	CTDSP2
CUL3	CUL3
DPCD	DPCD
SGMS1	SGMS1
JAGN1	JAGN1
MFSD10	MFSD10
KIF5B	KIF5B
PAPOLA	PAPOLA
HGS	HGS
NDUFA7	NDUFA7
MAP7D1	MAP7D1
JPX	JPX
IDH3B	IDH3B
ATP1A1	ATP1A1
USO1	USO1
SCP2	SCP2
NAP1L1	NAP1L1
SDHC	SDHC
SAR1B	SAR1B
AGTRAP	AGTRAP
RSL24D1	RSL24D1
PAFAH1B2	PAFAH1B2
EEF1G	EEF1G
ELOC	ELOC
TOPORS	TOPORS
PNKD	PNKD
RBFOX2	RBFOX2
SEC23A	SEC23A
MYL12B	MYL12B
GLRX2	GLRX2
ZYX	ZYX
SRSF6	SRSF6
RAB18	RAB18
CMTM6	CMTM6
PSMD9	PSMD9
REEP3	REEP3
ARL16	ARL16
PTPN12	PTPN12
BRD4	BRD4
PEPD	PEPD
SLC25A11	SLC25A11
GDI1	GDI1
RRP36	RRP36
CDC40	CDC40
TMEM263	TMEM263
NAGK	NAGK
EIF2A	EIF2A
HMGXB3	HMGXB3
VAT1	VAT1
NTAN1	NTAN1
YWHAZ	YWHAZ
DBNL	DBNL
SFT2D1	SFT2D1
BAD	BAD
NDUFS6	NDUFS6
RPAIN	RPAIN
TP53RK	TP53RK
COX7C	COX7C
UBFD1	UBFD1
ATG12	ATG12
SYMPK	SYMPK
RBX1	RBX1
TSPAN4	TSPAN4
DAXX	DAXX
CDC42SE1	CDC42SE1
ZFYVE16	ZFYVE16
FAM89B	FAM89B
SHISA5	SHISA5
COPS2	COPS2
CHD9	CHD9
FGFR1OP2	FGFR1OP2
SARNP	SARNP
COL18A1	COL18A1
DHPS	DHPS
IP6K2	IP6K2
SRA1	SRA1
UBE2E1	UBE2E1
FAM234A	FAM234A
EGLN2	EGLN2
PDIA6	PDIA6
UBE2D1	UBE2D1
LSM10	LSM10
VPS4B	VPS4B
KRAS	KRAS
NECTIN2	NECTIN2
ZFPM1	ZFPM1
THYN1	THYN1
ZNF358	ZNF358
DDA1	DDA1
FKBP1A	FKBP1A
GOLGA7	GOLGA7
SYNCRIP	SYNCRIP
DHRS4L2	DHRS4L2
